Categoria       Venitul        Ianuarie       Februarie      Martie         Aprilie        Mai            Iunie          Iulie          August         Septembrie     Octombrie      Noiembrie      Decembrie      
while           3234232.11     153700.91      361697.50      256133.32      158107.55      388838.15      308383.96      284896.12      277117.25      202469.33      573205.65      197885.43      71796.94       
raise           3191594.93     302382.68      320853.64      573417.42      470685.51      152095.96      66868.29       31062.99       184160.85      297931.11      161618.53      441129.48      189388.47      
like            3183454.36     53262.24       387203.40      222628.91      355439.48      209482.52      128012.66      222506.51      277411.80      426027.54      264555.32      263402.58      373521.40      
method          3124335.34     242899.35      345422.06      290562.59      329567.45      336097.25      177302.02      259329.17      255854.87      231142.87      114101.28      386025.92      156030.51      
spend           3101383.48     377003.41      242675.13      266683.78      170351.56      310460.60      108594.21      290963.41      264857.38      136653.79      240306.48      329617.44      363216.29      
that            3101151.34     254400.05      175221.77      326864.91      218764.76      315235.50      202500.90      202403.37      318035.52      180723.27      263775.95      217816.73      425408.61      
professor       3088502.55     188459.13      106826.90      121949.88      259471.38      188788.47      239739.07      204225.13      252654.37      464090.04      252581.81      243688.83      566027.54      
area            3072486.48     184768.38      257605.84      322732.86      205837.59      191470.72      150348.68      447390.52      86613.17       228818.30      310717.73      359262.32      326920.37      
past            3066520.66     119654.49      247591.44      236174.70      138806.59      279524.17      142160.19      351019.98      381547.80      357456.79      327137.23      197524.90      287922.38      
stand           3039537.66     290204.75      383954.12      109052.00      167808.39      186250.36      361081.58      356808.99      214068.62      330869.46      231629.76      138257.68      269551.95      
against         3025520.71     146459.01      304015.38      192613.18      280173.35      171306.92      484470.09      403246.77      190466.42      120607.48      374301.67      194114.90      163745.54      
media           3019598.00     401809.53      258739.95      245478.32      238876.98      196852.68      271618.68      126645.17      401308.11      309026.19      105105.88      216022.79      248113.72      
hold            3018629.34     317633.55      231606.29      420171.78      163956.28      400989.48      202391.56      152695.42      442159.56      109435.43      126465.71      371253.72      79870.56       
catch           3011372.48     165989.39      427678.46      219697.34      239744.37      120349.83      223254.55      164361.88      341552.44      208340.87      56699.50       470911.56      372792.29      
water           2992952.67     198669.21      217846.25      124521.98      211904.88      140147.18      300011.27      382656.12      478870.29      242020.43      116646.62      89456.04       490202.40      
training        2981161.14     270899.46      245787.08      234204.65      133800.53      249737.53      411189.18      309865.09      207139.22      213830.67      237241.50      290347.86      177118.37      
north           2971513.11     315742.65      189938.03      243803.87      410320.79      354796.99      172083.96      123807.16      207036.74      190892.26      154573.33      322863.17      285654.16      
girl            2964980.96     349028.18      430533.40      187465.52      194047.62      110829.81      146123.12      319153.77      136371.49      203752.38      408180.35      305438.59      174056.73      
sometimes       2932836.60     229625.06      170632.50      259469.61      341671.79      335925.97      166726.78      112117.39      247019.82      341077.44      227459.90      287705.11      213405.23      
both            2924915.24     224134.78      305148.72      162098.79      466346.89      201103.38      86589.10       234284.05      131446.17      90039.91       370244.44      276907.63      376571.38      
big             2903875.11     297251.47      5925.04        218578.43      331329.72      162560.82      306872.19      130840.97      441448.53      235922.44      243459.30      229658.96      300027.24      
family          2896167.31     487586.32      152886.47      396926.33      216069.38      197554.17      326169.73      263033.92      151748.46      169550.46      162956.64      204006.76      167678.67      
evidence        2895405.94     369661.73      66298.92       112886.27      249021.98      273551.25      213655.84      174697.20      258083.69      259564.83      362890.36      272996.87      282097.00      
religious       2892255.44     211661.24      125402.43      386403.78      204165.02      319721.80      316543.41      293256.69      275331.40      144361.86      286613.81      126725.22      202068.78      
quickly         2886744.29     318471.39      344501.87      208785.80      131531.68      280859.68      122318.92      224683.25      337176.38      249545.23      243559.52      253601.33      171709.24      
test            2884815.46     375963.50      248870.98      133208.08      210715.21      257755.21      194652.26      352858.57      301645.48      392410.10      138101.13      82687.56       195947.38      
include         2880201.92     204265.94      271214.89      198291.27      223521.18      184524.42      263450.18      222472.33      427605.26      141460.25      180557.44      373669.22      189169.54      
a               2876864.63     381017.20      141320.81      105602.19      678530.55      351103.02      227786.72      129137.00      223587.95      225492.23      27438.78       123591.89      262256.29      
skill           2875015.46     294247.09      202686.37      214547.84      182158.63      75843.41       257273.79      327302.80      251815.76      442621.22      280847.92      164029.29      181641.34      
heavy           2870420.40     249944.29      55574.55       453232.06      281633.70      174141.22      232908.27      305319.08      279269.97      288895.34      194635.89      223594.43      131271.60      
bank            2863787.38     204965.27      103285.91      320519.06      133371.88      204258.33      204016.54      295430.08      307280.24      99277.93       179906.00      634241.48      177234.66      
future          2856776.35     578310.54      297948.20      169520.43      243569.23      188005.26      94238.06       73922.63       224875.27      110102.41      177412.12      345683.48      353188.72      
way             2854556.57     174610.26      354415.15      112510.32      125169.08      234100.45      211045.15      333177.67      365041.41      100211.52      196641.12      324393.98      323240.46      
indeed          2852606.66     337471.99      157653.40      114858.32      507786.39      336206.29      210013.97      152336.20      421516.78      284634.70      39388.44       98218.54       192521.64      
player          2849825.99     257305.24      300942.58      228666.11      318717.92      424570.24      121653.66      199230.43      96433.50       192278.59      259339.90      202850.49      247837.33      
help            2844904.20     321863.06      336954.94      275487.94      231262.44      206143.41      217324.56      188392.18      184568.81      212387.23      258235.19      208724.75      203559.69      
single          2844802.11     163312.72      295105.97      219080.52      51220.24       504437.26      223408.97      102124.98      358741.80      191187.96      154089.94      248733.87      333357.88      
high            2832747.39     260430.63      244635.71      151835.15      204903.26      212278.85      341844.81      157178.71      262276.65      279154.85      80143.87       245282.49      392782.41      
reduce          2830425.88     356812.31      152088.13      179510.33      104560.07      61001.09       350018.11      162097.75      253133.57      292889.26      274113.93      204686.70      439514.63      
foot            2828104.20     315539.14      251378.98      117717.75      271632.53      368637.98      391640.38      222494.43      54075.51       128537.08      320883.38      268686.68      116880.36      
kid             2827917.84     25625.16       346853.18      171435.33      347192.93      309479.96      101285.52      161429.03      208520.47      327077.62      409357.78      81743.81       337917.05      
friend          2822682.05     133290.57      284946.16      247712.73      290717.77      454459.38      308578.11      211266.87      223642.08      130674.68      386249.28      108387.56      42756.86       
fire            2821241.72     284789.81      407298.38      297945.80      221827.16      285877.71      137721.76      203172.09      130015.06      166797.31      98435.07       403010.14      184351.43      
poor            2817282.11     434886.11      249259.98      443755.46      212013.34      338552.48      70440.05       422492.86      42467.13       158001.68      172528.77      170218.91      102665.34      
actually        2816657.73     139080.00      218430.78      211242.24      267309.54      66090.76       137735.29      522729.32      26459.12       267130.55      266442.97      533349.80      160657.36      
benefit         2808887.99     309552.39      127553.98      87259.22       53410.50       167009.35      237307.13      292090.72      377455.81      210740.55      166650.71      438843.54      341014.09      
picture         2806232.69     153694.34      215398.84      76479.63       234753.35      213274.24      308122.55      81223.50       328651.09      595627.15      276776.25      85332.94       236898.81      
agreement       2805741.01     228374.44      74839.18       136427.83      203080.42      319400.33      184114.24      285533.79      208033.74      244460.51      358343.26      381021.63      182111.64      
stop            2805234.78     67023.62       241837.42      195461.20      168913.27      67478.25       197347.76      544417.61      237096.02      314754.90      202007.36      207643.19      361254.18      
economic        2805014.59     252552.25      383102.28      269483.17      294841.26      76233.64       136204.11      289882.83      247456.78      413392.95      147000.31      146545.74      148319.27      
mind            2804362.77     124812.69      304510.35      183016.55      91511.52       194699.58      272026.17      225485.89      203660.31      342285.68      295186.95      237249.63      329917.45      
these           2795729.16     218816.78      121585.43      247648.20      247620.33      258682.98      169025.14      278744.06      134500.16      309447.13      228209.67      272353.81      309095.47      
