Anul     Ianuarie       Februarie      Martie         Aprilie        Mai            Iunie          Iulie          August         Septembrie     Octombrie      Noiembrie      Decembrie      
1970     3265259.91     3694346.34     2550372.68     3138769.35     3399586.81     3921709.69     3941038.66     4042065.38     3376225.12     3231631.37     3888624.18     2856473.92     
1971     3727713.07     3145879.14     3367446.84     3119565.40     3620274.07     3348909.56     3373017.78     3807588.55     3223416.84     3219843.73     3178557.73     3707710.26     
1972     3115851.79     3159134.53     3699896.65     3154971.86     3426934.76     2627485.57     2947447.92     3773459.54     3603784.20     3058724.24     3235426.65     2826312.65     
1973     3392390.72     3391515.82     2960435.83     2614615.10     3320412.77     4143750.06     3238910.00     3353038.15     2629665.92     3112911.36     3527852.58     2688730.39     
1974     3977603.75     2954786.79     2476302.09     2828545.12     2597168.39     3857305.61     2962450.35     3319773.68     3793585.20     3692074.24     3150144.09     2976395.68     
1975     4150015.25     2622524.38     3193869.64     4130516.69     3463411.87     3663804.29     3427590.22     3596511.15     3367575.95     2933327.66     2730288.76     3249905.07     
1976     3164081.66     3307424.78     3099925.93     3144868.97     3436624.83     2942644.32     3515658.65     3871232.68     3789739.33     3883175.77     3604562.07     3433538.16     
1977     3167403.53     3197003.16     3447760.78     3493188.80     3441268.83     3010465.60     3490546.54     3133175.60     3690884.89     3745749.56     3567152.45     3515071.78     
1978     4814308.67     3176699.33     3635030.98     3407803.49     3704565.65     3653498.69     3874177.00     3785486.09     3739217.39     4621079.19     3194177.61     2983707.76     
1979     3470827.82     3407320.11     3320082.10     2661246.25     3529198.84     4153488.62     3478212.24     4157210.25     3577189.31     4088838.80     3579149.42     3463863.28     
1980     3422880.75     3117019.46     3343567.38     3191754.88     3422198.71     3380509.37     3776195.54     3644404.60     2885263.07     3803147.74     3472067.52     4038864.51     
1981     3039965.67     3559685.82     3237527.98     4016701.21     3803810.02     3242720.58     3411569.43     3115438.82     3213564.06     3458598.47     3325124.92     3825798.04     
1982     3659603.81     3008964.35     3083145.89     2590502.17     3591300.82     3201980.94     2988418.28     3689768.08     3181360.03     3550527.97     3337153.64     2879510.61     
1983     3600259.15     2454704.61     3120660.89     3191611.44     3805432.79     3484874.63     3292449.16     3598853.77     2845753.89     3228046.06     3353103.18     4276833.14     
1984     3798642.35     2981468.64     3335948.69     2836638.49     3148145.31     3447446.52     3451706.97     3493060.01     3657782.48     3346889.42     3703959.56     3567405.06     
1985     3979262.98     3166065.13     3483390.39     3618344.08     3848375.38     3228930.52     3217393.64     3806675.47     2681676.55     3336367.20     3023922.51     3207357.10     
1986     3220328.15     2431032.99     3933372.84     2551231.74     3232854.49     3237126.63     3872166.04     3875271.18     2970991.80     3625854.70     3096303.51     3256716.24     
1987     3414984.16     3177739.55     2936026.18     3106480.00     2853928.27     3120685.42     3923211.02     3914936.14     2981451.27     3297239.45     3565875.03     3601941.42     
1988     3481950.83     3214808.87     3559969.86     3228460.45     3692936.84     3541982.02     3335521.97     4265945.25     3340869.29     3164420.29     2946594.57     2688586.10     
1989     3287878.66     3022089.34     3453069.85     3429122.20     3111344.37     3636964.17     3214376.33     3418822.78     3237688.11     2971526.43     4360970.43     3094511.34     
1990     3597159.58     2800818.41     3707188.03     3082186.17     3556387.51     3826208.15     4209643.66     2906975.42     3581853.45     4330806.93     3318119.15     3732468.27     
1991     2360887.36     3447591.41     2743766.13     3559846.60     3228650.30     3377922.81     4658628.89     3608215.91     3511614.73     3431418.00     3024835.28     3211462.34     
1992     3949381.05     3815625.70     3385143.17     3897035.75     3563127.20     3111297.01     3751800.83     3159396.07     3206663.60     3042562.48     3046234.49     3354772.43     
1993     3007503.48     3871165.27     3275395.47     3162584.79     3388717.49     3610886.60     3630096.47     2841407.34     3752049.89     3763637.01     3244127.10     3313264.98     
1994     3051024.42     2643914.74     3447101.60     4008057.66     3610567.16     2981342.20     3259588.25     3535882.19     2761914.12     2838902.60     3335814.48     3099038.41     
1995     3323347.51     2693489.38     3335647.52     3805316.21     3124380.21     3262732.88     2866314.20     3353326.80     3444611.04     3697615.08     2576152.83     3710098.20     
